County,Agency
Orange,Orange County Park PD
Warren,County Total
Ulster,Shawangunk Town PD
Schuyler,Schuyler County State Police
Orange,Newburgh City PD
Erie,SUNY - Buffalo
Seneca,County Total
Tioga,Tioga County State Police
Herkimer,Frankfort Town PD
Ulster,Marlborough Town PD
Ulster,SUNY College At New Paltz
Erie,West Seneca Town PD
Seneca,Seneca County Sheriff
Albany,Ravena Vg PD
Herkimer,Frankfort Vg PD
Cattaraugus,Franklinville Vg PD
Putnam,Putnam County Park PD
Dutchess,Dutchess County (RR-MN)
Suffolk,Northport Vg PD
Niagara,North Tonawanda City PD
Tioga,Waverly Vg PD
Oswego,Oswego City PD
Nassau,Sands Point Vg PD
Fulton,Fulton County State Police
Nassau,Nassau County MTA
Chemung,Elmira Heights Vg PD
Livingston,Nunda Town and Vg PD
Schoharie,County Total
Oneida,SUNY College At Utica/Rome
Orange,Crawford Town PD
Columbia,Columbia County Sheriff
Chenango,Chenango County Park PD
Broome,Broome County Sheriff
Suffolk,Shelter Island Town PD
Allegany,Allegany County State Police
Essex,County Total
Allegany,County Total
Westchester,Buchanan Vg PD
Dutchess,Dutchess County State Police
Onondaga,Camillus Town and Vg PD
Delaware,Delaware County State Police
Orange,Florida Vg PD
Monroe,Irondequoit Town PD
Oswego,County Total
Orleans,Holley Vg PD
Madison,Madison County State Police
Niagara,Niagara County Sheriff
Madison,Oneida City PD
Wayne,Wayne County Sheriff
Westchester,Irvington Vg PD
Onondaga,Marcellus Vg PD
Chautauqua,Fredonia Vg PD
Westchester,Mount Pleasant Town PD
Erie,Orchard Park Town PD
Nassau,Rockville Centre Vg PD
Clinton,Clinton County Sheriff
Broome,Port Dickinson Vg PD
Clinton,Clinton County Sheriff
Broome,Broome County (RR-RC) 
Livingston,Nunda Town and Vg PD
Ulster,Rosendale Town PD
Schuyler,Schuyler County Park PD
Ulster,Ashokan PCT (NYC-BWSP)
Suffolk,Lloyd Harbor Vg PD
Sullivan,Liberty Vg PD
Cortland,County Total
Oswego,Oswego County State Police
Orange,Orange County (RR-RC) 
Allegany,Allegany County State Police
Dutchess,Wappingers Falls Vg PD
Wayne,Newark Vg PD
Tompkins,Tompkins County Sheriff
Schenectady,Rotterdam Town PD
Onondaga,Onondaga County Park Rangers
Schenectady,Schenectady County State Police
Rensselaer,Rensselaer County Sheriff
Westchester,Mount Kisco Vg PD
Erie,Depew Vg PD
Richmond,County Total
Cattaraugus,County Total
Nassau,Old Westbury Vg PD
Rockland,Rockland County State Police
St Lawrence,Potsdam Vg PD
Steuben,Addison Vg PD
Washington,Granville Vg PD
Ulster,Ulster County Park PD
Dutchess,Pine Plains Town PD
Putnam,Putnam County Sheriff
Dutchess,Pine Plains Town PD
Nassau,Cove Neck Vg PD
Livingston,Nunda Town and Vg PD
Chemung,Southport Town PD
Columbia,Chatham Vg PD
Oswego,County Total
Madison,SUNY College at Morrisville
Wyoming,Wyoming County Park PD
Jefferson,Jefferson County Park PD
Westchester,Harrison Town PD
Herkimer,County Total
Cayuga,Cayuga County State Police
Herkimer,Ilion Vg PD
Steuben,Hornell City PD
Lewis,County Total
Rensselaer,Rensselaer County Park PD
Suffolk,Westhampton Beach Vg PD
Tompkins,Groton Vg PD
Greene,Hunter Town PD
Rockland,Rockland County State Police
Allegany,Andover Vg PD
Orange,Goshen Town PD
Oswego,Pulaski Vg PD
Suffolk,Head-of-the-Harbor Vg PD
Erie,Kenmore Vg PD
Dutchess,Millbrook Vg PD
Ontario,Geneva City PD
Ulster,Ulster County State Police
Suffolk,Southampton Vg PD
Erie,Angola Vg PD
Chautauqua,Fredonia Vg PD
Putnam,Cold Spring Vg PD
Orange,Mount Hope Town PD
Ulster,Ulster County State Police
Madison,SUNY College at Morrisville
Schuyler,Schuyler County Sheriff
Suffolk,East Hampton Town PD
Westchester,Harrison Town PD
Dutchess,Poughkeepsie City PD
Suffolk,Suffolk County Park Police
Wayne,Wayne County State Police
Schuyler,County Total
Erie,Erie County Park PD
Erie,Lackawanna City PD
Onondaga,Clay Town PD
Saratoga,County Total
Madison,Cazenovia Vg PD
Nassau,Glen Cove City PD
Schenectady,Scotia Vg PD
Erie,Erie County (RR-RCP)
Niagara,Niagara Falls City PD
Madison,Chittenango Vg PD
Ulster,Woodstock Town PD
Broome,County Total
Dutchess,Dutchess County Park PD
Suffolk,Westhampton Beach Vg PD
Putnam,Carmel Town PD
Washington,Whitehall Vg PD
Jefferson,Alexandria Bay Vg PD
Saratoga,Waterford Town and Vg PD
Albany,Colonie Town PD
Fulton,County Total
Wayne,Wayne County Sheriff
Cayuga,Cayuga County Sheriff
Herkimer,Ilion Vg PD
Jefferson,Clayton Vg PD
Nassau,Glen Cove City PD
Rensselaer,Hoosick Falls Vg PD
Montgomery,Canajoharie Vg PD
Westchester,Pound Ridge Town PD
Ontario,Phelps Vg PD
Westchester,Ossining Vg PD
Orange,Cornwall-on-Hudson Vg PD
Chemung,Horseheads Vg PD
Ulster,Saugerties Town PD
Orange,Blooming Grove Town PD
Jefferson,Jefferson County Sheriff
Westchester,Peekskill City PD
Ontario,Ontario County State Police
Orange,Maybrook Vg PD
Otsego,Cooperstown Vg PD
Cayuga,Cayuga County Park PD
Madison,Canastota Vg PD
Erie,Cheektowaga Town PD
Washington,Hudson Falls Vg PD
Onondaga,Onondaga County (RR-CSX)
Jefferson,West Carthage Vg PD
Bronx,County Total
Chenango,Afton Vg PD
Jefferson,Carthage Vg PD
Greene,County Total
Cayuga,Port Byron Vg PD
Steuben,Addison Vg PD
Madison,Canastota Vg PD
Onondaga,SUNY College-Env. Science and Forestry
Westchester,New Rochelle City PD
Chenango,Chenango County Park PD
Livingston,Mount Morris Vg PD
Orange,Port Jervis City PD
Steuben,Corning City PD
Madison,Chittenango Vg PD
Clinton,Clinton County Park PD
Erie,Erie County State Police
Lewis,Lowville Vg PD
Washington,Cambridge Vg PD
Nassau,Nassau County State Police
Rockland,South Nyack-Grand View PD
Schoharie,Schoharie County Sheriff
Herkimer,Webb Town PD
Westchester,Elmsford Vg PD
Nassau,Nassau County Park PD
Fulton,Fulton County Sheriff
Monroe,Rochester City PD
Orleans,Orleans County Park PD
Cattaraugus,Cattaraugus County Park PD
St Lawrence,County Total
Madison,Earlville Vg PD
Broome,Vestal Town PD
Westchester,Mount Vernon City PD
Westchester,Greenburgh Town PD
Columbia,Chatham Vg PD
Herkimer,Herkimer County (RR-RC)
Suffolk,Suffolk County Sheriff
Chemung,Elmira Town PD
Westchester,Mamaroneck Town PD
Westchester,Dobbs Ferry Vg PD
Onondaga,Manlius Town PD
Chemung,Horseheads Vg PD
Albany,Albany City PD
Montgomery,Montgomery County (RR-CSX)
Westchester,Larchmont Vg PD
Jefferson,Jefferson County Park PD
Chenango,Bainbridge Vg PD
Essex,Essex County State Police
Allegany,Bolivar Vg PD
Schoharie,Cobleskill Vg PD
Onondaga,Marcellus Vg PD
Oneida,New York Mills Vg PD
Ontario,Ontario County Sheriff
Chenango,New Berlin Vg PD
Nassau,Great Neck Estates Vg PD
Albany,Guilderland Town PD
Erie,Angola Vg PD
Greene,Durham Town PD
Westchester,Greenburgh Town PD
Orange,Middletown City PD
Washington,Cambridge Vg PD
Cattaraugus,Portville Vg PD
Suffolk,Quogue Vg PD
Cattaraugus,County Total
Tompkins,Dryden Vg PD
Cattaraugus,Franklinville Vg PD
Nassau,Old Westbury Vg PD
Rockland,County Total
Tioga,Tioga County Sheriff
Orange,Orange County Sheriff
Franklin,Tupper Lake Vg PD
Wayne,Wayne County State Police
Tioga,County Total
Ulster,Ellenville Vg PD
St Lawrence,St Lawrence County Park PD
Herkimer,Herkimer Vg PD
Allegany,Belmont Vg PD
Montgomery,Fort Plain Vg PD
Oswego,Oswego County State Police
Monroe,East Rochester Vg PD
Columbia,Stockport Town PD
Wayne,Newark Vg PD
Erie,Tonawanda Town PD
Allegany,County Total
Orange,Montgomery Town PD
Genesee,Genesee County State Police
Orange,Port Jervis City PD
Washington,Hudson Falls Vg PD
Tompkins,Trumansburg Vg PD
Dutchess,Dutchess County (RR-MN)
Putnam,Putnam County Sheriff
Ulster,Ashokan PCT (NYC-BWSP)
Nassau,SUNY College at Old Westbury
Orange,Crawford Town PD
Washington,Hudson Falls Vg PD
Tompkins,Tompkins County State Police
Greene,Cairo Town PD
Suffolk,Suffolk County Sheriff
Wayne,Wayne County (RR-CSX)
Suffolk,Northport Vg PD
Ulster,Ulster Town PD
Madison,Hamilton Vg PD
Genesee,Genesee County Park PD
Cattaraugus,Salamanca City PD
Orange,Chester Vg PD
Saratoga,Waterford Town and Vg PD
Clinton,County Total
Cattaraugus,Olean City PD
Tompkins,Tompkins County Sheriff
Delaware,Sidney Vg PD
Albany,Albany County Sheriff
Ontario,Ontario County State Police
Dutchess,Hyde Park Town PD
Livingston,Avon Vg PD
Chautauqua,Chautauqua County State Police
St Lawrence,Ogdensburg City PD
Schuyler,Watkins Glen Vg PD
Westchester,Pleasantville Vg PD
Ulster,Kingston City PD
Kings,County Total
Saratoga,Waterford Town and Vg PD
Columbia,Philmont Vg PD
Schenectady,Schenectady County State Police
Otsego,Otsego County State Police
Chautauqua,County Total
Sullivan,Monticello Vg PD
Suffolk,Sag Harbor Vg PD
Westchester,Irvington Vg PD
Orange,Harriman Vg PD
Wayne,Wayne County (RR-RC)
Broome,Deposit Vg PD
Schoharie,Schoharie County State Police
Putnam,Kent Town PD
Suffolk,Suffolk County Sheriff
Chautauqua,County Total
Greene,Catskill Vg PD
Madison,Earlville Vg PD
Nassau,Kings Point Vg PD
Broome,SUNY - Binghamton
Greene,County Total
Livingston,Caledonia Vg PD
Chemung,County Total
Westchester,Mount Vernon City PD
Westchester,Mamaroneck Vg PD
Monroe,Fairport Vg PD
Otsego,Otsego County Park PD
Westchester,Mount Vernon City PD
Dutchess,Millerton Vg PD
Washington,County Total
Albany,Ravena Vg PD
Chemung,Chemung County State Police
Orange,Montgomery Town PD
Westchester,Pelham Vg PD
Orange,Walden Vg PD
Rockland,Orangetown Town PD
Westchester,Mamaroneck Town PD
Cortland,Cortland County Sheriff
Orange,Mount Hope Town PD
Broome,Vestal Town PD
Suffolk,Southampton Vg PD
Allegany,Angelica Vg PD
Chautauqua,Chautauqua County Sheriff
Ulster,SUNY College At New Paltz
Orange,Monroe Vg PD
Columbia,Germantown Town PD
Franklin,Tupper Lake Vg PD
Wyoming,Warsaw Vg PD
Kings,County Total
Schenectady,County Total
Tompkins,Groton Vg PD
Seneca,Seneca County Park PD
Oswego,Fulton City PD
Orange,Maybrook Vg PD
Dutchess,Wappingers Falls Vg PD
Chautauqua,Fredonia Vg PD
Westchester,Ossining Vg PD
Oswego,SUNY College At Oswego
Chemung,Chemung County Park PD
Cattaraugus,Cattaraugus Vg PD
Oswego,Phoenix Vg PD
Suffolk,Northport Vg PD
Putnam,Putnam County State Police
Monroe,Monroe County Park PD
Orange,Cornwall-On-Hudson Vg PD
Wyoming,Warsaw Vg PD
Jefferson,Adams Vg PD
Ulster,Shawangunk Town PD
Steuben,Corning City PD
Albany,Menands Vg PD
Broome,Broome County Park PD
Westchester,Irvington Vg PD
Franklin,Tupper Lake Vg PD
Greene,Catskill Vg PD
Suffolk,Northport Vg PD
Cayuga,Cayuga County Park PD
Oneida,Sherrill City PD
Nassau,Kensington Vg PD
Rockland,Stony Point Town PD
Schenectady,Glenville Town PD
Orleans,Medina Vg PD
Albany,Ravena Vg PD
Wyoming,Attica Vg PD
Nassau,Sands Point Vg PD
Steuben,Wayland Vg PD
Jefferson,Jefferson County State Police
Warren,Bolton Town PD
Tompkins,Cornell University Police
Genesee,Genesee County (RR-CSX)
Otsego,Otsego County Park PD
Monroe,Ogden Town PD
Wyoming,Warsaw Vg PD
Suffolk,East Hampton Vg PD
Ulster,SUNY College at New Paltz
Fulton,Fulton County Sheriff
Seneca,Waterloo Vg PD
Clinton,Rouses Point Vg PD
Nassau,Nassau County Park PD
Westchester,New Rochelle City PD
Erie,Hamburg Town PD
Suffolk,Southold Town PD
Oswego,Oswego County State Police
Suffolk,Suffolk County PD
Wyoming,Wyoming County Park PD
Broome,Endicott Vg PD
Columbia,Germantown Town PD
Chenango,New Berlin Town PD
Oneida,Oneida County Park PD
Onondaga,Onondaga County (RR-RC)
Ulster,Marlborough Town PD
Chemung,Horseheads Vg PD
Tompkins,Cornell University Police
Livingston,SUNY College At Geneseo
Albany,Albany County Sheriff
Cayuga,Port Byron Vg PD
Sullivan,Mamakating Town PD
Oswego,SUNY College at Oswego
Monroe,Webster Town and Vg PD
Westchester,Mamaroneck Vg PD
Delaware,County Total
Monroe,Greece Town PD
Wayne,Clyde Vg PD
Broome,Deposit Vg PD
Westchester,Mount Kisco Vg PD
Westchester,New Rochelle City PD
Westchester,Pleasantville Vg PD
Nassau,Great Neck Estates Vg PD
Otsego,Cooperstown Vg PD
Columbia,Greenport Town PD
Putnam,County Total
Broome,Broome County Park PD
Westchester,Ossining Town PD
Schenectady,Niskayuna Town PD
Erie,SUNY - Buffalo
Delaware,Hancock Vg PD
Ulster,New Paltz Town and Vg PD
Saratoga,Saratoga Springs City PD
Greene,Coxsackie Vg PD
Madison,Oneida City PD
Ulster,Kingston City PD
Suffolk,East Hampton Town PD
Cayuga,Auburn City PD
Dutchess,Pawling Vg PD
Westchester,Briarcliff Manor Vg PD
Delaware,Delaware County Sheriff
Niagara,Niagara Falls City PD
Orange,Chester Town PD
Oneida,Yorkville Vg PD
Westchester,Ossining Vg PD
Wayne,Macedon Town and Vg PD
Albany,Colonie Town PD
Rockland,South Nyack-Grand View PD
Orange,Chester Town PD
Franklin,Tupper Lake Vg PD
Monroe,SUNY College At Brockport
Cattaraugus,Franklinville Vg PD
Warren,Bolton Town PD
Allegany,County Total
Rockland,Haverstraw Town PD
Niagara,Lockport City PD
Allegany,County Total
Oneida,Camden Vg PD
Cattaraugus,Franklinville Vg PD
Cayuga,Cayuga County Sheriff
Westchester,Tarrytown Vg PD
Niagara,Youngstown Vg PD
Genesee,Genesee County Park PD
Steuben,Wayland Vg PD
Suffolk,Suffolk County Park Police
Nassau,Nassau County (RR-LI)
Allegany,Friendship Town PD
Tioga,Owego Vg PD
Livingston,Caledonia Vg PD
Putnam,Kent Town PD
Albany,Albany County State Police
St Lawrence,Norwood Vg PD
Jefferson,Carthage Vg PD
Suffolk,Suffolk County State Police
Niagara,Lewiston Town PD
Franklin,Franklin County State Police
Seneca,Seneca Falls Vg PD
Erie,Orchard Park Town PD
Dutchess,Beacon City PD
Wyoming,Perry Vg PD
Washington,Greenwich Vg PD
Rensselaer,Nassau Vg PD
Tompkins,Ithaca College PD
Allegany,Friendship Town PD
Cattaraugus,Cattaraugus County State Police
Nassau,Lynbrook Vg PD
Saratoga,Ballston Spa Vg PD
Suffolk,Huntington Bay Vg PD
Nassau,Rockville Centre Vg PD
Ulster,Plattekill Town PD
Monroe,Brighton Town PD
Saratoga,Corinth Vg PD
Lewis,Lewis County State Police
Nassau,Freeport Vg PD
Seneca,Seneca Falls Vg PD
Erie,County Total
Ulster,Shawangunk Town PD
Westchester,Buchanan Vg PD
Cortland,County Total
Orange,Cornwall Town PD
Nassau,Old Brookville Vg PD
Columbia,Columbia County State Police
Broome,Broome County Park PD
Westchester,Tarrytown Vg PD
Lewis,County Total
Schenectady,County Total
Clinton,Rouses Point Vg PD
Steuben,County Total
Wayne,Palmyra Vg PD
Rockland,Ramapo Town PD
Wyoming,Arcade Vg PD
Jefferson,Jefferson County State Police
Wayne,Wayne County (RR-CSX)
Oneida,New York Mills Vg PD
Livingston,Nunda Town and Vg PD
Yates,Yates County State Police
Delaware,Delaware County State Police
Chemung,County Total
Washington,Granville Vg PD
Madison,County Total
Rockland,Rockland County Sheriff
Schoharie,Schoharie County State Police
Cayuga,Auburn City PD
Livingston,Nunda Town and Vg PD
Oneida,Sherrill City PD
Orange,Chester Vg PD
Rensselaer,Rensselaer County Park PD
Orange,Montgomery Town PD
Tioga,Tioga County Sheriff
Ontario,Canandaigua City PD
Ontario,Geneva City PD
Ontario,Geneva City PD
Erie,SUNY College At Buffalo
St Lawrence,Norwood Vg PD
Jefferson,County Total
Schuyler,Watkins Glen Vg PD
Albany,Altamont Vg PD
Franklin,County Total
Suffolk,County Total
Genesee,Batavia City PD
Chautauqua,Silver Creek Vg PD
Niagara,County Total
Otsego,Oneonta City PD
Seneca,Seneca Falls Vg PD
Erie,Tonawanda City PD
Westchester,Mount Pleasant Town PD
Erie,Gowanda Vg PD
Nassau,Kings Point Vg PD
Westchester,Yorktown Town PD
Oneida,Oneida County Park PD
Orange,Orange County Sheriff
Chautauqua,Chautauqua County Park PD
Wayne,Clyde Vg PD
Orange,Monroe Vg PD
Niagara,Niagara Falls City PD
Herkimer,Dolgeville Vg PD
Hamilton,Hamilton County State Police
Herkimer,Frankfort Vg PD
Tompkins,Cornell University Police
Broome,Broome County State Police
Schenectady,Schenectady County State Police
Ulster,Ulster County State Police
Genesee,Genesee County (RR-RC)
Westchester,Mount Vernon City PD
Madison,Madison County Sheriff
Oneida,Kirkland Town PD
Washington,Washington County Sheriff
Monroe,Brockport Vg PD
Monroe,Monroe County Park PD
Westchester,North Castle Town PD
Lewis,Lewis County Sheriff
Albany,Watervliet City PD
St Lawrence,Massena Vg PD
Albany,Albany City PD
Westchester,Westchester County State Police
Washington,Washington County State Police
Oneida,Yorkville Vg PD
Erie,Gowanda Vg PD
Orleans,Albion Vg PD
Rockland,Rockland County (RR-RC) A
Oswego,Oswego County Sheriff
Madison,Hamilton Vg PD
Westchester,Elmsford Vg PD
Cayuga,Moravia Vg PD
Jefferson,Dexter Vg PD
Westchester,Harrison Town PD
Dutchess,Poughkeepsie Town PD
Chautauqua,Chautauqua County State Police
Monroe,Greece Town PD
Sullivan,Sullivan County State Police
Monroe,County Total
Rockland,Haverstraw Vg PD
Bronx,County Total
Chenango,New Berlin Town PD
Suffolk,Sag Harbor Vg PD
Washington,Hudson Falls Vg PD
Erie,Amherst Town PD
Orange,Maybrook Vg PD
Schoharie,Schoharie County Park PD
Oswego,Oswego City PD
Erie,West Seneca Town PD
Orange,Wallkill Town PD
Ulster,Rosendale Town PD
Onondaga,Manlius Town PD
Onondaga,SUNY College-Env. Science and Forestry
Chemung,Horseheads Vg PD
Allegany,Angelica Vg PD
Westchester,Pleasantville Vg PD
Saratoga,South Glens Falls Vg PD
Jefferson,Clayton Vg PD
Orange,Orange County (RR-MN)
Orange,Florida Vg PD
Washington,Fort Edward Vg PD
Cayuga,County Total
Saratoga,Saratoga County Park PD
Westchester,Harrison Town PD
Lewis,Lewis County Park PD
Dutchess,East Fishkill Town PD
Saratoga,Corinth Vg PD
Steuben,Steuben County State Police
Orange,Maybrook Vg PD
Nassau,Great Neck Estates Vg PD
Erie,Kenmore Vg PD
Chemung,Elmira City PD
Broome,Vestal Town PD
Montgomery,Fort Plain Vg PD
Chenango,Afton Vg PD
Suffolk,Quogue Vg PD
Broome,Johnson City Vg PD
Otsego,Otsego County Park PD
Cortland,Cortland City PD
Dutchess,Millbrook Vg PD
Broome,Broome County Park PD
Chenango,New Berlin Town PD
Livingston,Dansville Vg PD
Washington,County Total
Montgomery,Montgomery County (RR-RC)
Queens,County Total
Orange,Newburgh Town PD
Yates,County Total
Steuben,Addison Vg PD
Oneida,Vernon Vg PD
Rockland,Rockland County MTA
Saratoga,Waterford Town and Vg PD
Erie,Gowanda Vg PD
Oneida,Oriskany Vg PD
Washington,Salem Vg PD
Chautauqua,Carroll Town PD
Rensselaer,Rensselaer Poly Tech Police
Schoharie,Cobleskill Vg PD
Suffolk,Shelter Island Town PD
Suffolk,Suffolk County State Police
Westchester,Westchester County (RR-RC)
Hamilton,County Total
Monroe,Rochester City PD
Dutchess,Dutchess County State Police
Columbia,Philmont Vg PD
Onondaga,Cicero Town PD
Livingston,Geneseo Vg PD
Wayne,Palmyra Vg PD
Madison,County Total
Broome,Broome County Park PD
Ulster,Ulster County State Police
Cayuga,County Total
Onondaga,Syracuse City PD
Rensselaer,County Total
Erie,Lancaster Town PD
Washington,Washington County Sheriff
Washington,County Total
Chemung,Chemung County (RR-RC) 
Schuyler,Schuyler County Sheriff
Tompkins,Tompkins County State Police
Niagara,Niagara County Park PD
Cayuga,Cayuga County Park PD
Schoharie,Cobleskill Vg PD
Orange,Newburgh City PD
Erie,Lancaster Vg PD
Oswego,Oswego County State Police
Albany,Altamont Vg PD
Cortland,Mcgraw Vg PD
Tioga,Tioga County State Police
St Lawrence,Potsdam Vg PD
Westchester,Port Chester Vg PD
Delaware,Delhi Vg PD
Schoharie,County Total
Madison,Cazenovia Vg PD
Niagara,Niagara Falls City PD
Orange,Maybrook Vg PD
Erie,Depew Vg PD
Cattaraugus,Ellicottville Town PD
Tompkins,Groton Vg PD
Seneca,Seneca Falls Town PD
Hamilton,Inlet Town PD
Suffolk,Southampton Vg PD
Warren,Warren County State Police
Nassau,Garden City Vg PD
Orange,Goshen Vg PD
Jefferson,Watertown City PD
Franklin,Saranac Lake Vg PD
Greene,Cairo Town PD
Oneida,Oriskany Vg PD
Cattaraugus,Allegany Vg PD
Livingston,Livingston County State Police
Chemung,Chemung County State Police
Delaware,Walton Vg PD
Ulster,Shandaken Town PD
Orange,Wallkill Town PD
Cortland,Mcgraw Vg PD
Westchester,Ardsley Vg PD
Greene,Greene County Sheriff
Tompkins,Cornell University Police
Rockland,Rockland County MTA
Orange,Crawford Town PD
Clinton,Champlain Vg PD
Orange,Cornwall Town PD
Tompkins,Tompkins County Sheriff
Otsego,SUNY College at Oneonta
Orange,Orange County Sheriff
Rensselaer,East Greenbush Town PD
Otsego,Otsego County State Police
Westchester,Yonkers City PD
Seneca,Seneca Falls Vg PD
Westchester,Eastchester Town PD
Madison,SUNY College At Morrisville
Cattaraugus,Olean City PD
Tompkins,Freeville Vg PD
Suffolk,County Total
Oneida,Camden Vg PD
Ulster,County Total
Orange,Walden Vg PD
Westchester,Westchester County Park PD
Niagara,Youngstown Vg PD
Seneca,Seneca County State Police
Nassau,Old Westbury Vg PD
Essex,Moriah Town PD
Suffolk,Suffolk County State Police
Jefferson,Clayton Vg PD
Seneca,Waterloo Vg PD
Chenango,Bainbridge Vg PD
Fulton,Fulton County Sheriff
Onondaga,Baldwinsville Vg PD
Tompkins,Groton Vg PD
Schoharie,Cobleskill Vg PD
Schoharie,Schoharie County (RR-D and H)
Monroe,Brockport Vg PD
Livingston,Livingston County State Police
Erie,Cheektowaga Town PD
Tompkins,Tompkins County Park PD
Hamilton,Hamilton County State Police
Westchester,Mount Vernon City PD
Saratoga,Ballston Spa Vg PD
Cattaraugus,Cattaraugus Vg PD
Putnam,Putnam County MTA
Orange,Cornwall-On-Hudson Vg PD
Livingston,Mount Morris Vg PD
Steuben,Addison Vg PD
Schenectady,Glenville Town PD
Wayne,Wayne County State Police
Suffolk,Nissequogue Vg PD
Westchester,Ossining Vg PD
Clinton,Clinton County State Police
Seneca,Seneca County Park PD
Westchester,Mamaroneck Town PD
Cayuga,Weedsport Vg PD
Westchester,Rye City PD
Cattaraugus,Portville Vg PD
Erie,Amherst Town PD
Orleans,Medina Vg PD
Putnam,Putnam County MTA
Wayne,Palmyra Vg PD
Orange,Harriman Vg PD
Livingston,Geneseo Vg PD
Westchester,Briarcliff Manor Vg PD
Rockland,Orangetown Town PD
Erie,Akron Vg PD
Putnam,Putnam County State Police
Livingston,County Total
Otsego,SUNY College at Oneonta
Tioga,County Total
Albany,Guilderland Town PD
Schuyler,Schuyler County Park PD
Broome,Endicott Vg PD
Tompkins,Tompkins County State Police
Wyoming,Wyoming County (RR-RC)
Tompkins,Ithaca City PD
Sullivan,Monticello Vg PD
Wayne,Clyde Vg PD
Monroe,Webster Town and Vg PD
Erie,Hamburg Vg PD
Chautauqua,Ellicott Town PD
Suffolk,Shelter Island Town PD
Cattaraugus,Olean City PD
Hamilton,Hamilton County State Police
Rensselaer,Hoosick Falls Vg PD
Livingston,Livingston County Sheriff
Rensselaer,Rensselaer Poly Tech Police
Jefferson,Adams Vg PD
Oneida,New Hartford Town and Vg PD
Chenango,Oxford Vg PD
Genesee,Genesee County State Police
Suffolk,Sag Harbor Vg PD
Ulster,Ellenville Vg PD
Orange,Highland Falls Vg PD
Onondaga,Onondaga County Sheriff
Orange,Tuxedo Town PD
Cayuga,Weedsport Vg PD
Niagara,Lockport City PD
Livingston,Livingston County Park PD
Ulster,Saugerties Vg PD
Region Total,Region Total
Chemung,Horseheads Vg PD
Greene,County Total
Orange,Highlands Town PD
Jefferson,Watertown City PD
Livingston,Livingston County Sheriff
Niagara,County Total
Lewis,Lowville Vg PD
Nassau,Nassau County PD
Otsego,Otsego County Sheriff
Rockland,South Nyack-Grand View PD
Westchester,Bedford Town PD
Chautauqua,County Total
Allegany,County Total
Clinton,Rouses Point Vg PD
Delaware,Colchester Town PD
Chenango,County Total
Suffolk,Head-of-the-Harbor Vg PD
Orange,Chester Vg PD
Cortland,Mcgraw Vg PD
Suffolk,Quogue Vg PD
Franklin,Franklin County State Police
Albany,Watervliet City PD
Nassau,Oyster Bay Cove Vg PD
Erie,East Aurora-Town Of Aurora PD
Steuben,Bath Vg PD
Columbia,Germantown Town PD
Orange,Cornwall-on-Hudson Vg PD
Fulton,Fulton County Sheriff
Wyoming,Perry Vg PD
Westchester,Croton-On-Hudson Vg PD
Chenango,Oxford Vg PD
Jefferson,Watertown City PD
Warren,Bolton Town PD
Rockland,Haverstraw Town PD
Suffolk,East Hampton Vg PD
Rensselaer,Rensselaer County Sheriff
St Lawrence,Gouverneur Vg PD
Erie,Gowanda Vg PD
Westchester,Bedford Town PD
Greene,County Total
Wyoming,Attica Vg PD
Greene,Hunter Town PD
Erie,Buffalo City PD
Wayne,Wayne County (RR-RC)
Westchester,Scarsdale Vg PD
Orleans,Orleans County Park PD
Genesee,Genesee County Park PD
Orange,Blooming Grove Town PD
Livingston,Mount Morris Vg PD
Monroe,Gates Town PD
Cattaraugus,Salamanca City PD
Genesee,County Total
Nassau,Long Beach City PD
Suffolk,Asharoken Vg PD
Suffolk,Sag Harbor Vg PD
Niagara,Niagara Falls City PD
Greene,Windham Town PD
Hamilton,Inlet Town PD
Wayne,Wolcott Vg PD
Erie,Lackawanna City PD
Monroe,Monroe County Sheriff
Greene,Windham Town PD
Westchester,SUNY College At Purchase
Lewis,Lowville Vg PD
Tompkins,County Total
Nassau,Nassau County PD
Chautauqua,Lakewood-Busti PD
Suffolk,Suffolk County MTA
Oneida,Oneida County Park PD
Franklin,Saranac Lake Vg PD
Fulton,Fulton County State Police
Putnam,Putnam County State Police
Ulster,County Total
Rockland,Rockland County (RR-CSX)
Saratoga,Saratoga County Park PD
Chautauqua,Chautauqua County (RR-RC)
Oswego,Oswego County Sheriff
Steuben,Steuben County Park PD
Onondaga,Baldwinsville Vg PD
Clinton,SUNY College At Plattsburgh
Steuben,Painted Post Vg PD
Oneida,Oneida County Sheriff
Monroe,County Total
Suffolk,Quogue Vg PD
Orange,Cornwall-on-Hudson Vg PD
Albany,Albany County (RR-RC)
Ulster,Shawangunk Town PD
Onondaga,Onondaga County State Police
Madison,Canastota Vg PD
St Lawrence,Ogdensburg City PD
Westchester,Rye Brook Vg PD
Oswego,Pulaski Vg PD
Steuben,Steuben County Sheriff
Clinton,Clinton County Park PD
Orange,Crawford Town PD
Putnam,Putnam County MTA
Jefferson,Dexter Vg PD
Sullivan,Sullivan County Park PD
Allegany,Cuba Town PD
Orange,Highlands Town PD
Oneida,Oneida County State Police
Allegany,Angelica Vg PD
Ontario,Ontario County State Police
Rensselaer,Rensselaer County Park PD
Suffolk,Northport Vg PD
Suffolk,Suffolk County PD
Albany,Menands Vg PD
Chenango,Chenango County Park PD
Otsego,County Total
Chemung,Elmira City PD
Genesee,County Total
Hamilton,Hamilton County State Police
