County,Agency
Livingston,Livingston County Park PD
Suffolk,Ocean Beach Vg PD
Onondaga,SUNY College-Env. Science and Forestry
Seneca,Seneca County Sheriff
Clinton,Clinton County Park PD
Onondaga,SUNY College-Env. Science and Forestry
Jefferson,Glen Park Vg PD
Genesee,County Total
Onondaga,SUNY - Upstate Medical Center
Erie,Erie County State Police
Wyoming,Wyoming County State Police
Westchester,Mount Pleasant Town PD
Westchester,Scarsdale Vg PD
Westchester,Port Chester Vg PD
Delaware,SUNY College At Delhi
Ulster,Kingston City PD
Wyoming,Attica Vg PD
Rockland,County Total
Monroe,Irondequoit Town PD
Erie,Kenmore Vg PD
Madison,Cazenovia Vg PD
Essex,Essex County (RR-D and H)
Cayuga,Weedsport Vg PD
Albany,Green Island Vg PD
Westchester,Eastchester Town PD
Westchester,North Castle Town PD
Nassau,County Total
Delaware,Delhi Vg PD
Oneida,Yorkville Vg PD
Sullivan,Sullivan County State Police
Cayuga,Cayuga County Sheriff
Chemung,Southport Town PD
Wayne,Wayne County Sheriff
Orange,Warwick Town PD
Nassau,Great Neck Estates Vg PD
Broome,Special Investigator Task Force
Orleans,Medina Vg PD
Ontario,Canandaigua City PD
Cattaraugus,Cattaraugus County (RR-NS)
Jefferson,Glen Park Vg PD
Cortland,County Total
Orleans,Orleans County Park PD
Ulster,Kingston City PD
Westchester,Westchester County State Police
Niagara,County Total
Chemung,Elmira Heights Vg PD
Saratoga,Saratoga County Sheriff
Onondaga,Geddes Town PD
Columbia,Hudson City PD
Nassau,Great Neck Estates Vg PD
Nassau,SUNY College At Old Westbury
Orange,Chester Vg PD
Rensselaer,North Greenbush Town PD
Broome,Vestal Town PD
Wayne,Clyde Vg PD
Herkimer,Frankfort Vg PD
Cayuga,Moravia Vg PD
Montgomery,County Total
Nassau,Hempstead Vg PD
Oneida,Rome City PD
Oneida,Kirkland Town PD
Washington,Fort Edward Vg PD
Allegany,Bolivar Vg PD
Rockland,Ramapo Town PD
Putnam,Cold Spring Vg PD
Cattaraugus,Ellicottville Town PD
Greene,Cairo Town PD
Tioga,Tioga County Sheriff
Westchester,New Castle Town PD
Erie,Eden Town PD
Saratoga,South Glens Falls Vg PD
Delaware,Delhi Vg PD
Cattaraugus,Allegany Vg PD
Jefferson,Jefferson County Park PD
Livingston,Caledonia Vg PD
Dutchess,County Total
Chemung,Horseheads Vg PD
Steuben,Painted Post Vg PD
Nassau,County Total
Greene,Cairo Town PD
Chenango,Sherburne Vg PD
Wyoming,County Total
Columbia,County Total
Cattaraugus,Cattaraugus County Sheriff
Monroe,Monroe County Park PD
Schenectady,Schenectady County (RR-RC)
Albany,Altamont Vg PD
Oswego,Oswego City PD
Westchester,Mamaroneck Vg PD
Genesee,Genesee County State Police
Ulster,Plattekill Town PD
Essex,Lake Placid Vg PD
Oneida,SUNY College At Utica/Rome
Albany,Coeymans Town PD
Westchester,Dobbs Ferry Vg PD
Onondaga,Skaneateles Vg PD
Montgomery,County Total
Westchester,Rye Brook Vg PD
Albany,SUNY - Albany
Wayne,Wayne County (RR-RC)
Oneida,Whitestown Town PD
Delaware,Sidney Vg PD
Suffolk,Westhampton Beach Vg PD
Jefferson,Jefferson County Sheriff
Niagara,Niagara Town PD
Wayne,Newark Vg PD
Broome,Johnson City Vg PD
Orleans,Albion Vg PD
Washington,Granville Vg PD
Washington,Washington County Sheriff
Westchester,Yonkers City PD
Ulster,Rosendale Town PD
Westchester,Croton-On-Hudson Vg PD
Suffolk,Suffolk County State Police
Albany,Albany County Park PD
Nassau,Kensington Vg PD
Yates,Yates County Sheriff
Rockland,Ramapo Town PD
Allegany,Andover Vg PD
Orleans,Holley Vg PD
Jefferson,Jefferson County Sheriff
Schenectady,Scotia Vg PD
Erie,Lancaster Vg PD
Albany,Bethlehem Town PD
Schuyler,Schuyler County State Police
Steuben,Cohocton Town PD
Chautauqua,Jamestown City PD
Genesee,County Total
Orange,Greenwood Lake Vg PD
Ulster,Woodstock Town PD
Steuben,Wayland Vg PD
Onondaga,East Syracuse Vg PD
Westchester,Mount Kisco Vg PD
Orange,Maybrook Vg PD
Saratoga,Mechanicville City PD
Monroe,Monroe County Sheriff
Oneida,Vernon Vg PD
Clinton,Plattsburgh City PD
Chautauqua,Silver Creek Vg PD
Chautauqua,County Total
Onondaga,North Syracuse Vg PD
Tompkins,Ithaca City PD
Wyoming,Perry Vg PD
Tompkins,Tompkins County State Police
Rockland,Ramapo Town PD
Sullivan,Sullivan County Sheriff
Allegany,Belmont Vg PD
Warren,Warren County Sheriff
Westchester,Westchester County (RR-MN)
Madison,Madison County Park PD
Onondaga,Onondaga County Sheriff
Yates,Yates County Park PD
Wayne,Clyde Vg PD
Orange,Monroe Vg PD
Otsego,Otsego County State Police
Orange,Orange County (RR-RC) 
Cattaraugus,Cattaraugus County State Police
Yates,Yates County Sheriff
Monroe,Greece Town PD
Oswego,Phoenix Vg PD
Albany,Altamont Vg PD
Erie,Akron Vg PD
Monroe,County Total
Broome,County Total
Niagara,Niagara County Sheriff
Schenectady,Schenectady County State Police
Sullivan,Sullivan County State Police
Westchester,Westchester Co Dept Pub Safety
Columbia,Columbia County Sheriff
Columbia,Columbia County Park PD
Steuben,Hammondsport Vg PD
Ontario,Canandaigua City PD
Wyoming,Wyoming County Sheriff
Montgomery,Montgomery County State Police
Albany,Coeymans Town PD
Greene,Catskill Vg PD
Herkimer,Webb Town PD
St Lawrence,Potsdam Vg PD
Rockland,Haverstraw Town PD
Oneida,Oriskany Vg PD
Ulster,Shawangunk Town PD
Niagara,Lewiston Town PD
Niagara,County Total
Westchester,Pelham Manor Vg PD
Chautauqua,Ellicott Town PD
Wayne,Lyons Vg PD
Ontario,Ontario County Sheriff
Cattaraugus,Franklinville Vg PD
Putnam,Carmel Town PD
Orange,Greenwood Lake Vg PD
Chemung,Elmira Heights Vg PD
St Lawrence,SUNY College At Canton
St Lawrence,St Lawrence County Sheriff
Washington,Hudson Falls Vg PD
Rensselaer,Schodack Town PD
Columbia,Hudson City PD
Ulster,Ulster County Park PD
Onondaga,Liverpool Vg PD
Ulster,Rosendale Town PD
Onondaga,Jordan Vg PD
Monroe,Ogden Town PD
Fulton,County Total
Allegany,Bolivar Vg PD
Columbia,Copake Town PD
Montgomery,Montgomery County Sheriff
Cayuga,Moravia Vg PD
Schuyler,Schuyler County State Police
Steuben,Corning City PD
Oneida,Sherrill City PD
Onondaga,East Syracuse Vg PD
Sullivan,Woodridge Vg PD
Lewis,Lewis County Sheriff
Westchester,North Castle Town PD
Greene,County Total
Herkimer,Frankfort Town PD
St Lawrence,St Lawrence County Sheriff
Chenango,Afton Vg PD
Ulster,Ulster County Park PD
Westchester,Harrison Town PD
Jefferson,Glen Park Vg PD
Nassau,County Total
Monroe,Wheatland Town PD
New York,County Total
St Lawrence,County Total
Wyoming,Arcade Vg PD
Nassau,Sands Point Vg PD
Rensselaer,Rensselaer County State Police
Livingston,Livingston County Sheriff
Madison,County Total
St Lawrence,Canton Vg PD
Orange,Newburgh City PD
Putnam,Carmel Town PD
Yates,County Total
Wayne,Newark Vg PD
Erie,Gowanda Vg PD
Columbia,Greenport Town PD
Ulster,Plattekill Town PD
Dutchess,Dutchess County Park PD
Wayne,Wayne County Sheriff
Rockland,County Total
Putnam,Cold Spring Vg PD
Rockland,Spring Valley Vg PD
Monroe,East Rochester Vg PD
Suffolk,Suffolk County Park Police
Sullivan,Woodridge Vg PD
Essex,Ticonderoga Town PD
Herkimer,Frankfort Vg PD
Putnam,Kent Town PD
Westchester,Hastings-on-Hudson Vg PD
Westchester,Tuckahoe Vg PD
Suffolk,Suffolk County Park Police
Steuben,Caton Town PD
Clinton,Champlain Vg PD
Oneida,Rome City PD
Yates,Yates County State Police
Monroe,East Rochester Vg PD
Saratoga,County Total
Niagara,Niagara County (RR-RC)
Suffolk,Suffolk County Sheriff
Orange,Tuxedo Town PD
Cayuga,County Total
Schenectady,Rotterdam Town PD
Yates,Yates County State Police
Fulton,Fulton County Sheriff
Erie,Erie County Sheriff
Westchester,Port Chester Vg PD
Livingston,Mount Morris Vg PD
Erie,Brant Town PD
Schenectady,Rotterdam Town PD
Suffolk,Nissequogue Vg PD
Delaware,Walton Vg PD
Ontario,Canandaigua City PD
Chautauqua,Jamestown City PD
Steuben,Wayland Vg PD
Washington,Hudson Falls Vg PD
Suffolk,Suffolk County PD
Onondaga,Marcellus Vg PD
Monroe,Ogden Town PD
Orange,Harriman Vg PD
Jefferson,Cape Vincent Vg PD
Delaware,County Total
Allegany,Angelica Vg PD
Saratoga,South Glens Falls Vg PD
Erie,Kenmore Vg PD
Broome,Deposit Vg PD
Erie,Lancaster Vg PD
New York,County Total
Livingston,Mount Morris Vg PD
Cayuga,Moravia Vg PD
Orange,Middletown City PD
Franklin,Saranac Lake Vg PD
Erie,Tonawanda City PD
Schuyler,Watkins Glen Vg PD
Monroe,County Total
Oneida,Rome City PD
Oneida,Whitestown Town PD
Herkimer,Little Falls City PD
Otsego,SUNY College At Oneonta
Seneca,Seneca County Sheriff
Orange,Woodbury Town PD
Greene,Coxsackie Vg PD
Orleans,County Total
Saratoga,Stillwater Town PD
Madison,Cazenovia Vg PD
Orange,Harriman Vg PD
Albany,Colonie Town PD
Westchester,New Castle Town PD
Washington,County Total
Putnam,Putnam County State Police
Rockland,Rockland County State Police
Erie,Kenmore Vg PD
Steuben,Wayland Vg PD
Nassau,Old Brookville Vg PD
Chenango,Chenango County State Police
Nassau,Long Beach City PD
Westchester,Rye Brook Vg PD
Tompkins,Tompkins County Sheriff
Bronx,County Total
Livingston,Livingston County Park PD
Suffolk,Lloyd Harbor Vg PD
Wyoming,Warsaw Vg PD
Saratoga,Saratoga Springs City PD
Herkimer,Herkimer County Sheriff
Chautauqua,County Total
Chautauqua,Chautauqua County (RR-NS)
Steuben,Corning City PD
Albany,Watervliet City PD
Madison,Oneida City PD
Monroe,Ogden Town PD
Washington,Hudson Falls Vg PD
Erie,Amherst Town PD
Broome,Deposit Vg PD
Monroe,Monroe County Park PD
Albany,Watervliet City PD
Westchester,Mount Pleasant Town PD
Rensselaer,Nassau Vg PD
Jefferson,County Total
St Lawrence,Norwood Vg PD
Orange,Tuxedo Town PD
Fulton,Fulton County State Police
Suffolk,Southampton Town PD
Ulster,Ulster County Park PD
Niagara,Niagara County Park PD
Greene,Hunter Town PD
Steuben,Cohocton Town PD
Erie,Evans Town PD
Westchester,Rye City PD
Wyoming,Arcade Vg PD
Columbia,County Total
Westchester,Pelham Manor Vg PD
Suffolk,Nissequogue Vg PD
Rensselaer,Rensselaer County Sheriff
St Lawrence,Canton Vg PD
Nassau,Oyster Bay Cove Vg PD
Orange,Orange County State Police
Genesee,County Total
Orange,Highland Falls Vg PD
Erie,Depew Vg PD
Yates,Yates County Sheriff
Sullivan,Liberty Vg PD
Columbia,Columbia County Sheriff
Monroe,Brighton Town PD
Steuben,Steuben County Sheriff
Nassau,Kensington Vg PD
Ulster,Marlborough Town PD
Westchester,Buchanan Vg PD
Chemung,Chemung County State Police
Westchester,Westchester Co Dept Pub Safety
Westchester,Lewisboro Town PD
Otsego,County Total
Madison,Madison County State Police
Erie,Orchard Park Town PD
Chemung,Chemung County Sheriff
Livingston,Mount Morris Vg PD
Allegany,Alfred Vg PD
Schoharie,Schoharie County Sheriff
Dutchess,Beacon City PD
Suffolk,Nissequogue Vg PD
Ontario,Ontario County State Police
Schenectady,Schenectady City PD
Montgomery,Amsterdam City PD
Suffolk,Asharoken Vg PD
Columbia,Hudson City PD
Orange,Wallkill Town PD
Tompkins,Tompkins County Park PD
Albany,Ravena Vg PD
Tioga,County Total
Seneca,Waterloo Vg PD
Oswego,Pulaski Vg PD
Sullivan,Monticello Vg PD
St Lawrence,St Lawrence County (RR-RC)
Albany,Watervliet City PD
Broome,Johnson City Vg PD
Yates,Yates County Sheriff
Erie,Erie County Sheriff
Cattaraugus,Cattaraugus County State Police
Albany,Albany County Sheriff
Greene,Greene County State Police
Tompkins,Cornell University Police
Steuben,Painted Post Vg PD
Schenectady,Scotia Vg PD
Rensselaer,Rensselaer County Park PD
Jefferson,County Total
Monroe,County Total
Suffolk,Suffolk County PD
Tompkins,Tompkins County Park PD
Greene,Coxsackie Vg PD
Rockland,County Total
Livingston,Mount Morris Vg PD
Orange,Orange County State Police
Ulster,Kingston City PD
Wayne,Sodus Point Vg PD
Nassau,Kings Point Vg PD
Orleans,Orleans County State Police
Westchester,Irvington Vg PD
Westchester,Harrison Town PD
Seneca,Seneca Falls Town PD
Lewis,Lewis County State Police
Clinton,Clinton County State Police
Suffolk,Amityville Vg PD
Ulster,County Total
Jefferson,Adams Vg PD
Rensselaer,North Greenbush Town PD
Putnam,Carmel Town PD
Steuben,Cohocton Town PD
Clinton,Clinton County State Police
Clinton,SUNY College At Plattsburgh
Albany,Albany County (RR-RC)
Niagara,North Tonawanda City PD
Chemung,Chemung County State Police
Clinton,Clinton County State Police
Madison,Cazenovia Vg PD
Onondaga,Syracuse City PD
Cattaraugus,Salamanca City PD
Rensselaer,North Greenbush Town PD
Saratoga,South Glens Falls Vg PD
Dutchess,Northeast T and Millerton V PD
Wayne,Wayne County State Police
Onondaga,East Syracuse Vg PD
Erie,Amherst Town PD
Nassau,Hempstead Vg PD
Ulster,County Total
Westchester,Yorktown Town PD
Saratoga,Waterford Town and Vg PD
Rockland,Rockland County Park PD
Suffolk,Southampton Town PD
Oneida,Sherrill City PD
Oneida,Oneida County Sheriff
Erie,Erie County (RR-D and H)
Orleans,Holley Vg PD
Onondaga,Onondaga County State Police
Dutchess,Pawling Vg PD
Greene,Coxsackie Vg PD
Onondaga,SUNY - Upstate Medical Center
Montgomery,St Johnsville Vg PD
Livingston,Caledonia Vg PD
Madison,Madison County Park PD
Chemung,Horseheads Vg PD
Rensselaer,Rensselaer County Park PD
Essex,Lake Placid Vg PD
Jefferson,Alexandria Bay Vg PD
Oneida,Whitesboro Vg PD
Ontario,Clifton Springs Vg PD
Jefferson,Clayton Vg PD
Westchester,Yonkers City PD
Rensselaer,Troy City PD
Monroe,Webster Town and Vg PD
Yates,Yates County State Police
Tioga,Tioga County Sheriff
Otsego,Otsego County Park PD
Oneida,Camden Vg PD
Tompkins,Trumansburg Vg PD
Otsego,County Total
Allegany,Bolivar Vg PD
Niagara,Niagara Falls City PD
Monroe,Monroe County Sheriff
Orange,Chester Town PD
Ontario,Clifton Springs Vg PD
